What Country or Region do you live in?,How old are you?,Which of the following best describes your occupation?,What type of project are you developing?,Which languages are you proficient in?,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,What operating system do you use the most?,Which of our sites do you frequent most?
Russia,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,Ruby,N/A,N/A,N/A,N/A,N/A,N/A,Objective-C,Mac OS X,Super User
Middle East,35-39,Desktop Application Developer,Enterprise,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,C#,C++,N/A,Perl,N/A,N/A,Windows Vista,Stack Overflow
United States of America,25-29,Web Application Developer,Enterprise,N/A,JavaScript,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,25-29,Web Application Developer,Enterprise,Java,N/A,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,30-34,Web Application Developer,Web Platform,Java,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Windows 7,None
United Kingdom,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,40-50,Web Application Developer,Web Platform,N/A,JavaScript,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,VB.NET and proud of it,Windows 7,Stack Overflow
United States of America,25-29,Web Application Developer,SaaS,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,C++,C,Perl,N/A,coldfusion,Windows 7,Meta Stack Overflow
Other Europe,20-24,Desktop Application Developer,Enterprise,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,Perl,N/A,Delphi,Windows 7,Stack Overflow
Other Europe,25-29,Web Application Developer,Web Platform,N/A,N/A,N/A,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Canada,20-24,Student,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,40-50,"Executive (VP of Eng, CTO, CIO, etc.)",Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,C++,C,N/A,N/A,VB,Windows 7,Stack Overflow
United States of America,30-34,Web Application Developer,Enterprise,N/A,N/A,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,< 20,Student,Other,Java,N/A,CSS,PHP,Python,N/A,SQL,N/A,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
Germany,25-29,Student,Other,Java,JavaScript,CSS,PHP,Python,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
Canada,40-50,Server Programmer,Enterprise,Java,JavaScript,CSS,PHP,Python,N/A,SQL,N/A,C++,C,Perl,N/A,N/A,Windows XP,Stack Overflow
Other Asia,35-39,Manager of Developers or Team Leader,Web Platform,Java,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,C,N/A,N/A,COBOL,Windows XP,Stack Overflow
Other Europe,40-50,Systems Analyst,Enterprise,N/A,N/A,N/A,N/A,Python,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
India,25-29,Server Programmer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,C,Perl,N/A,N/A,Windows XP,Stack Overflow
Canada,40-50,Manager of Developers or Team Leader,Enterprise,Java,JavaScript,N/A,N/A,N/A,Ruby,N/A,N/A,C++,N/A,N/A,N/A,N/A,Windows 7,N/A
Other Europe,35-39,Kernel / Driver Developer,Other,Java,N/A,N/A,N/A,Python,Ruby,N/A,N/A,C++,C,N/A,N/A,N/A,Linux,Stack Overflow
Middle East,25-29,Student,Other,Java,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,C,Perl,N/A,N/A,Windows 7,Other
United States of America,25-29,Web Application Developer,Enterprise,Java,N/A,N/A,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,35-39,"Executive (VP of Eng, CTO, CIO, etc.)",Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VB.NET,Windows 7,Stack Overflow
United States of America,25-29,Web Application Developer,Enterprise,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Germany,30-34,Kernel / Driver Developer,Other,Java,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
South America,30-34,Server Programmer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Africa,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,35-39,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Super User
United States of America,40-50,Other,Other,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,C,Perl,N/A,VB,Windows XP,Meta Stack Overflow
United States of America,30-34,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,30-34,Desktop Application Developer,Other,N/A,N/A,CSS,PHP,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,VB.NET,Windows 7,Super User
United Kingdom,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HTML,Mac OS X,Stack Overflow
United States of America,35-39,IT Staff / System Administrator,Other,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,VB,Windows 7,Stack Overflow
United States of America,35-39,"Executive (VP of Eng, CTO, CIO, etc.)",Web Platform,N/A,JavaScript,CSS,N/A,Python,N/A,SQL,C#,N/A,C,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,Ruby,SQL,C#,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United Kingdom,25-29,Web Application Developer,Enterprise,N/A,JavaScript,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Russia,20-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,30-34,Web Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Canada,35-39,Web Application Developer,Enterprise,Java,N/A,N/A,N/A,Python,N/A,SQL,C#,N/A,N/A,N/A,N/A,gosu,Linux,Stack Overflow
United Kingdom,35-39,Web Application Developer,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Asia,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,"VB .NET, ActionScript",Windows 7,Stack Overflow
United States of America,20-24,Web Application Developer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,30-34,Web Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,< 20,Student,Other,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Haskell,Windows XP,Stack Overflow
United States of America,35-39,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,35-39,"Executive (VP of Eng, CTO, CIO, etc.)",Other,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,N/A,N/A,C,Perl,N/A,Scala,Linux,Stack Overflow
South America,40-50,Other,Web Platform,N/A,N/A,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,vb.net,Windows 7,Stack Overflow
South America,30-34,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,40-50,Web Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Server Programmer,SaaS,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,< 20,Student,Other,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows Vista,Stack Overflow
Netherlands,25-29,Other,Other,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,"Delphi, LabVIEW",Windows 7,Stack Overflow
United Kingdom,40-50,Manager of Developers or Team Leader,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,40-50,Manager of Developers or Team Leader,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,35-39,Server Programmer,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,N/A,Perl,N/A,N/A,Linux,Stack Overflow
United States of America,30-34,Web Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,ColdFusion,Windows XP,Stack Overflow
Canada,25-29,Web Application Developer,Enterprise,Java,JavaScript,CSS,N/A,Python,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,51-60,Web Application Developer,Mobile,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,C++,C,N/A,N/A,N/A,Mac OS X,Stack Overflow
Italy,30-34,Other,Other,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,C,N/A,N/A,Haskell,Linux,Stack Overflow
Other Europe,35-39,Other,Other,N/A,JavaScript,N/A,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Objective-C,Mac OS X,Server Fault
United States of America,30-34,Other,Web Platform,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,40-50,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,40-50,Other,Other,N/A,N/A,CSS,N/A,Python,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,Linux,Stack Overflow
United Kingdom,25-29,Web Application Developer,Web Platform,Java,JavaScript,N/A,N/A,Python,N/A,SQL,N/A,N/A,C,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Desktop Application Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,30-34,Embedded Application Developer,Other,N/A,N/A,N/A,N/A,Python,N/A,N/A,C#,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,N/A,N/A,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,JavaScript,Mac OS X,Stack Overflow
United States of America,40-50,"Executive (VP of Eng, CTO, CIO, etc.)",Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,"VB, COBOL",Windows 7,Server Fault
United States of America,30-34,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Embedded Application Developer,Other,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,Windows XP,Stack Overflow
Other Europe,25-29,Web Application Developer,Other,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,35-39,Web Application Developer,Web Platform,Java,N/A,N/A,N/A,Python,N/A,SQL,N/A,N/A,N/A,Perl,N/A,N/A,Mac OS X,Stack Overflow
United States of America,20-24,Server Programmer,SaaS,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,25-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,30-34,IT Staff / System Administrator,Web Platform,N/A,JavaScript,N/A,N/A,N/A,N/A,SQL,N/A,C++,C,Perl,N/A,lua,Linux,Server Fault
United States of America,25-29,Desktop Application Developer,Mobile,Java,N/A,CSS,N/A,N/A,N/A,SQL,C#,C++,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Canada,35-39,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,25-29,Server Programmer,Other,Java,JavaScript,CSS,PHP,Python,Ruby,SQL,N/A,C++,C,Perl,N/A,bash tcl objective-c,Linux,Stack Overflow
Other Europe,25-29,Web Application Developer,Enterprise,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,30-34,Manager of Developers or Team Leader,SaaS,N/A,JavaScript,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,30-34,Web Application Developer,SaaS,Java,JavaScript,CSS,N/A,Python,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
South America,25-29,Other,Other,N/A,N/A,CSS,PHP,Python,N/A,N/A,N/A,N/A,C,N/A,N/A,awk,Linux,None
United States of America,30-34,Web Application Developer,Enterprise,Java,JavaScript,CSS,N/A,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,Objective-C,Mac OS X,Stack Overflow
Middle East,30-34,Desktop Application Developer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,Java,N/A,N/A,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,N/A
Canada,30-34,Embedded Application Developer,Other,N/A,N/A,CSS,N/A,N/A,N/A,SQL,N/A,C++,C,N/A,N/A,N/A,Linux,Other
United States of America,40-50,Manager of Developers or Team Leader,Other,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,Windows 7,Programmers Stack Exchange
United States of America,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,25-29,Embedded Application Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United Kingdom,40-50,Desktop Application Developer,Enterprise,N/A,N/A,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,FoxPro,Mac OS X,Stack Overflow
United States of America,25-29,Web Application Developer,SaaS,N/A,JavaScript,N/A,N/A,N/A,Ruby,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
South America,20-24,Web Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,30-34,Web Application Developer,Enterprise,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Other Europe,40-50,Manager of Developers or Team Leader,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,40-50,Manager of Developers or Team Leader,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,Perl,N/A,N/A,Linux,Stack Overflow
United Kingdom,40-50,Desktop Application Developer,Enterprise,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,C#,C++,N/A,Perl,N/A,Fortran,Windows XP,Stack Overflow
Other Europe,25-29,Embedded Application Developer,Other,N/A,N/A,CSS,PHP,Python,N/A,SQL,N/A,N/A,C,N/A,N/A,N/A,Linux,Other
United States of America,25-29,Desktop Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,N/A
United States of America,40-50,Manager of Developers or Team Leader,Other,N/A,JavaScript,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
France,25-29,Desktop Application Developer,Other,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,20-24,Student,Other,Java,JavaScript,CSS,PHP,Python,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,20-24,Web Application Developer,Web Platform,N/A,N/A,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,40-50,Database Administrator,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Canada,30-34,Desktop Application Developer,Enterprise,N/A,JavaScript,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
France,20-24,Server Programmer,Mobile,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,"XML, ActionScript",Windows 7,Stack Overflow
United States of America,25-29,Server Programmer,Enterprise,N/A,N/A,N/A,N/A,Python,N/A,SQL,N/A,C++,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Canada,25-29,Web Application Developer,Enterprise,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,< 20,Student,Mobile,N/A,JavaScript,N/A,N/A,Python,N/A,N/A,N/A,N/A,C,N/A,N/A,Objective-C,Mac OS X,Stack Overflow
United Kingdom,25-29,Desktop Application Developer,Web Platform,Java,N/A,CSS,PHP,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,35-39,Desktop Application Developer,Other,Java,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,35-39,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,C,N/A,N/A,Tcl,Linux,Stack Overflow
Netherlands,20-24,Web Application Developer,Enterprise,Java,N/A,N/A,N/A,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,35-39,Server Programmer,Enterprise,Java,N/A,N/A,N/A,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
France,20-24,Embedded Application Developer,Mobile,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,C++,C,N/A,N/A,Objective C,Mac OS X,Stack Overflow
United States of America,20-24,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Programmers Stack Exchange
Middle East,25-29,Web Application Developer,Other,N/A,JavaScript,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,30-34,Desktop Application Developer,Enterprise,N/A,N/A,N/A,PHP,N/A,Ruby,N/A,C#,C++,C,N/A,N/A,N/A,Windows XP,Stack Overflow
Other Europe,20-24,Web Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,Python,Ruby,N/A,C#,N/A,C,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,30-34,Web Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,"RPG, LANSA",Windows 7,Stack Overflow
United Kingdom,40-50,Server Programmer,Enterprise,Java,N/A,N/A,N/A,Python,N/A,N/A,N/A,C++,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Netherlands,20-24,Server Programmer,Enterprise,N/A,JavaScript,CSS,N/A,Python,Ruby,SQL,N/A,C++,C,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,51-60,"Executive (VP of Eng, CTO, CIO, etc.)",Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,40-50,Web Application Developer,Enterprise,Java,JavaScript,CSS,N/A,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,20-24,Systems Analyst,SaaS,N/A,JavaScript,CSS,PHP,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,25-29,Web Application Developer,SaaS,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,C,N/A,N/A,N/A,Windows 7,Stack Overflow
Middle East,30-34,Desktop Application Developer,Mobile,Java,N/A,N/A,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,30-34,Web Application Developer,Web Platform,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,vb.net,Windows 7,Stack Overflow
United States of America,40-50,Manager of Developers or Team Leader,Enterprise,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C,Perl,N/A,N/A,Mac OS X,Other
Other Europe,20-24,Web Application Developer,Enterprise,N/A,N/A,CSS,N/A,Python,N/A,SQL,C#,N/A,N/A,N/A,N/A,"XML, XSLT",Linux,Stack Overflow
Other Europe,20-24,Other,Other,N/A,N/A,N/A,N/A,N/A,Ruby,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,30-34,Web Application Developer,Mobile,Java,N/A,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,Perl,N/A,N/A,Linux,Other
Canada,25-29,Other,Enterprise,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,Delphi,Windows Vista,Stack Overflow
United States of America,30-34,Web Application Developer,Enterprise,N/A,N/A,CSS,N/A,Python,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
South America,30-34,Server Programmer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Other Europe,30-34,Desktop Application Developer,Enterprise,Java,N/A,N/A,N/A,Python,N/A,SQL,N/A,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,20-24,Web Application Developer,Enterprise,Java,JavaScript,CSS,N/A,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Other Europe,30-34,Server Programmer,Enterprise,Java,N/A,N/A,N/A,Python,Ruby,N/A,N/A,N/A,N/A,Perl,N/A,N/A,Linux,Stack Overflow
United Kingdom,>60,Other,Enterprise,N/A,N/A,N/A,N/A,Python,Ruby,N/A,N/A,N/A,C,Perl,N/A,z/Assembler,Windows Vista,Other
United States of America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Canada,25-29,Manager of Developers or Team Leader,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,C,N/A,N/A,N/A,Windows 7,Stack Overflow
Canada,25-29,Web Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Programmers Stack Exchange
United States of America,25-29,Student,Other,Java,JavaScript,N/A,N/A,Python,Ruby,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
South America,30-34,Embedded Application Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,Object Pascal (Delphi),Windows Vista,Other
United States of America,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,Perl,N/A,N/A,Windows 7,Other
United Kingdom,25-29,Web Application Developer,Web Platform,N/A,N/A,N/A,PHP,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Other
United States of America,30-34,Server Programmer,Enterprise,Java,JavaScript,CSS,N/A,Python,N/A,SQL,C#,C++,C,Perl,N/A,N/A,Mac OS X,Stack Overflow
