What Country or Region do you live in?,How old are you?,Which of the following best describes your occupation?,What type of project are you developing?,Which languages are you proficient in?,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Which desktop operating system do you use the most?,Which of our sites do you frequent most?
United States of America,20-24,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,N/A,N/A,Ruby,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,40-50,Other,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows XP,Stack Overflow
United Kingdom,25-29,Manager of Developers or Team Leader,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
South America,20-24,Student,None / Unemployed,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Middle East,25-29,Server Programmer,Web Platform,Java,N/A,N/A,N/A,N/A,Objective-C,Ruby,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Clojure,Mac OS X,N/A
United Kingdom,25-29,Server Programmer,Enterprise,Java,N/A,N/A,N/A,Python,N/A,N/A,N/A,C#,C++,C,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,35-39,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Linux,Stack Overflow
Canada,< 20,Student,None / Unemployed,Java,N/A,N/A,PHP,Python,N/A,N/A,SQL,C#,C++,C,Perl,N/A,N/A,N/A,Linux,Programmers Stack Exchange
Other Europe,35-39,Server Programmer,Enterprise,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,groovy,Mac OS X,Stack Overflow
United States of America,20-24,Server Programmer,Mobile,Java,N/A,N/A,N/A,Python,Objective-C,N/A,N/A,N/A,C++,C,Perl,N/A,N/A,N/A,Mac OS X,Stack Overflow
Canada,25-29,Student,Other,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,"SML, Fortran,",Windows 7,Other Stack Exchange (please specify)
United Kingdom,25-29,Embedded Application Developer,Mobile,Java,N/A,CSS,PHP,N/A,Objective-C,N/A,N/A,N/A,N/A,C,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
United Kingdom,30-34,Server Programmer,Enterprise,Java,N/A,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,20-24,Web Application Developer,SaaS,N/A,N/A,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,35-39,Other,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Other Stack Exchange (please specify)
United States of America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,40-50,"Executive (VP of Eng, CTO, CIO, etc.)",Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,35-39,IT Staff / System Administrator,Other,N/A,N/A,N/A,PHP,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Server Fault
United States of America,40-50,Embedded Application Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,Ruby,N/A,N/A,C++,C,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,25-29,IT Manager,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,C,Perl,N/A,N/A,"various shells, R",Mac OS X,Server Fault
United States of America,30-34,Database Administrator,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Other Stack Exchange (please specify)
Canada,25-29,Desktop Application Developer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,< 20,Web Application Developer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,F#,Windows 7,Stack Overflow
Canada,25-29,Web Application Developer,SaaS,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,C#,C++,C,Perl,HTML5,N/A,N/A,Windows 7,Stack Overflow
United States of America,40-50,Server Programmer,Enterprise,N/A,JavaScript,CSS,PHP,Python,Objective-C,N/A,SQL,C#,C++,N/A,Perl,N/A,N/A,N/A,Mac OS X,Stack Overflow
Other Asia,35-39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United Kingdom,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
United States of America,30-34,Embedded Application Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Europe,20-24,Web Application Developer,Web Platform,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Middle East,30-34,Web Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
Australia,< 20,Other,Other,N/A,JavaScript,CSS,PHP,Python,N/A,N/A,N/A,N/A,C++,N/A,N/A,HTML5,N/A,N/A,Linux,Meta Stack Overflow
Other Europe,30-34,IT Manager,SaaS,N/A,JavaScript,CSS,PHP,Python,N/A,N/A,SQL,N/A,C++,C,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,51-60,Other,None / Unemployed,N/A,N/A,N/A,PHP,Python,N/A,N/A,SQL,N/A,N/A,C,N/A,N/A,N/A,FORTRAN II,Windows Vista,Other Stack Exchange (please specify)
Canada,20-24,Web Application Developer,Mobile,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
United States of America,35-39,Other,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Other Stack Exchange (please specify)
United Kingdom,40-50,Desktop Application Developer,Other,N/A,JavaScript,CSS,N/A,Python,N/A,N/A,N/A,N/A,C++,C,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
Other Asia,40-50,Other,Other,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,N/A,C++,C,N/A,N/A,N/A,"Scala, Haskell",Windows XP,Stack Overflow
Other Europe,20-24,Server Programmer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Other Europe,30-34,Embedded Application Developer,Mobile,Java,N/A,N/A,PHP,Python,Objective-C,N/A,SQL,N/A,C++,C,N/A,N/A,N/A,Go,Mac OS X,Stack Overflow
United States of America,25-29,Other,Mobile,Java,N/A,N/A,N/A,N/A,Objective-C,Ruby,SQL,N/A,N/A,C,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,20-24,Server Programmer,Enterprise,Java,JavaScript,N/A,PHP,N/A,N/A,N/A,SQL,C#,C++,C,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Canada,20-24,Student,Web Platform,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,C#,C++,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,25-29,Web Application Developer,Enterprise,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Student,Other,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HTML5,N/A,Fortran,Linux,Stack Overflow
Other Europe,30-34,Other,Other,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,VB.net,Windows XP,Stack Overflow
United Kingdom,30-34,Other,Enterprise,Java,JavaScript,CSS,PHP,N/A,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Programmers Stack Exchange
Australasia,35-39,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Netherlands,40-50,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,Ruby,SQL,C#,C++,N/A,Perl,HTML5,N/A,N/A,Mac OS X,Meta Stack Overflow
United States of America,30-34,Student,Other,Java,N/A,N/A,PHP,N/A,N/A,N/A,N/A,C#,C++,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Canada,20-24,Desktop Application Developer,Enterprise,Java,N/A,CSS,N/A,N/A,N/A,Ruby,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,25-29,Desktop Application Developer,Other,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,25-29,Web Application Developer,Other,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
United States of America,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Africa,20-24,Other,SaaS,N/A,N/A,CSS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Perl,N/A,N/A,N/A,Windows Vista,Stack Overflow
United States of America,30-34,I don't work in tech,None / Unemployed,N/A,N/A,N/A,N/A,Python,Objective-C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Canada,35-39,Web Application Developer,Other,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,Perl,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,20-24,Systems Analyst,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Other Stack Exchange (please specify)
Other Europe,< 20,Student,Mobile,Java,JavaScript,CSS,PHP,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
Germany,30-34,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HTML5,N/A,TeX,Linux,N/A
United States of America,< 20,Desktop Application Developer,Other,Java,N/A,CSS,N/A,N/A,N/A,N/A,N/A,C#,N/A,C,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,30-34,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,C++,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
Germany,< 20,Web Application Developer,Enterprise,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Linux,Stack Overflow
United States of America,25-29,Web Application Developer,Enterprise,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
United States of America,30-34,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
United States of America,>60,Other,Enterprise,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,lisp,Windows XP,N/A
United States of America,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Russia,25-29,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,vb.net,Windows 7,Programmers Stack Exchange
United Kingdom,25-29,Desktop Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,C++,N/A,N/A,HTML5,N/A,N/A,Windows XP,Stack Overflow
United States of America,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
Other Europe,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Windows Vista,Stack Overflow
Canada,20-24,Desktop Application Developer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,C,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,40-50,"Executive (VP of Eng, CTO, CIO, etc.)",Other,Java,JavaScript,CSS,N/A,Python,Objective-C,N/A,SQL,C#,C++,C,Perl,HTML5,N/A,N/A,Windows 7,Stack Overflow
North America (Other),30-34,Web Application Developer,Enterprise,N/A,N/A,N/A,PHP,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Other,Other Stack Exchange (please specify)
Other Europe,25-29,Embedded Application Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,C,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Africa,35-39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canada,30-34,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,25-29,Desktop Application Developer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,35-39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,40-50,Other,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Perl,N/A,N/A,"VHDL, Verilog",Windows 7,Other Stack Exchange (please specify)
Canada,35-39,Server Programmer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Germany,40-50,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,N/A,N/A,N/A,Perl,HTML5,N/A,Groovy,Linux,Stack Overflow
Canada,< 20,Student,None / Unemployed,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C,N/A,HTML5,N/A,N/A,Linux,Super User
Australia,25-29,IT Manager,SaaS,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,eDeveloper/uniPaaS,Windows 7,Server Fault
United States of America,20-24,Desktop Application Developer,Web Platform,Java,JavaScript,CSS,PHP,Python,N/A,Ruby,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Linux,Stack Overflow
South America,30-34,Server Programmer,SaaS,Java,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Other Stack Exchange (please specify)
United States of America,20-24,Manager of Developers or Team Leader,Web Platform,Java,JavaScript,CSS,N/A,Python,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,40-50,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Programmers Stack Exchange
United States of America,30-34,Web Application Developer,SaaS,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Other Stack Exchange (please specify)
Australia,35-39,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,30-34,Web Application Developer,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,40-50,Manager of Developers or Team Leader,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,N/A,N/A,N/A,Perl,HTML5,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,"Executive (VP of Eng, CTO, CIO, etc.)",SaaS,N/A,JavaScript,CSS,PHP,N/A,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Mac OS X,Meta Stack Overflow
United States of America,40-50,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
South America,25-29,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,N/A,N/A,N/A,N/A,Flex,Windows 7,Stack Overflow
United States of America,20-24,Web Application Developer,Enterprise,Java,JavaScript,CSS,N/A,Python,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Mexico,35-39,Systems Analyst,Enterprise,Java,N/A,N/A,PHP,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Delphi,Windows XP,Stack Overflow
Australia,30-34,Manager of Developers or Team Leader,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Windows XP,Other Stack Exchange (please specify)
Other Europe,35-39,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,30-34,Server Programmer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,Ruby,N/A,C#,C++,C,Perl,N/A,N/A,N/A,Windows 7,Programmers Stack Exchange
United States of America,20-24,IT Staff / System Administrator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Australia,25-29,Desktop Application Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,C,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Australia,35-39,Manager of Developers or Team Leader,Enterprise,N/A,N/A,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Web Application Developer,Enterprise,Java,JavaScript,CSS,PHP,N/A,Objective-C,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
South America,25-29,Web Application Developer,Other,Java,JavaScript,CSS,N/A,N/A,N/A,Ruby,SQL,C#,C++,C,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
Canada,20-24,Student,None / Unemployed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Other Stack Exchange (please specify)
United States of America,25-29,Web Application Developer,Mobile,Java,JavaScript,N/A,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Germany,30-34,Server Programmer,Enterprise,Java,N/A,N/A,N/A,Python,Objective-C,N/A,SQL,C#,C++,C,N/A,N/A,N/A,common lisp,Linux,Stack Overflow
United States of America,< 20,Student,Mobile,N/A,N/A,N/A,N/A,N/A,Objective-C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Germany,30-34,Web Application Developer,Web Platform,N/A,JavaScript,N/A,N/A,Python,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Meta Stack Overflow
United Kingdom,20-24,Other,Other,N/A,N/A,CSS,PHP,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Mac OS X,N/A
Other Europe,20-24,"Executive (VP of Eng, CTO, CIO, etc.)",Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,Ruby,SQL,N/A,C++,C,N/A,HTML5,N/A,"Assembler (x86 16/32bit, m68k, z80, et.c.), Haskell, Ada, Erlang, LISP, Self, CoffeScript, Ragel, And more..",Linux,Stack Overflow
Australasia,40-50,Manager of Developers or Team Leader,Enterprise,N/A,N/A,N/A,N/A,Python,N/A,N/A,SQL,C#,C++,C,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,40-50,I don't work in tech,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
North America (Other),30-34,Other,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,PowerShell,Windows 7,Stack Overflow
United States of America,25-29,Other,Other,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,Windows 7,Programmers Stack Exchange
United Kingdom,35-39,"Executive (VP of Eng, CTO, CIO, etc.)",Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Other Stack Exchange (please specify)
United States of America,25-29,Server Programmer,Enterprise,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,C#,C++,N/A,N/A,HTML5,N/A,N/A,Windows 7,N/A
United States of America,20-24,Embedded Application Developer,Mobile,N/A,N/A,N/A,N/A,Python,Objective-C,N/A,SQL,N/A,C++,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Russia,25-29,Server Programmer,SaaS,N/A,JavaScript,N/A,N/A,N/A,N/A,Ruby,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,40-50,Desktop Application Developer,Other,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Russia,>60,Web Application Developer,Mobile,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,Windows Vista,Stack Overflow
United States of America,20-24,Web Application Developer,Other,Java,N/A,N/A,N/A,Python,N/A,N/A,N/A,C#,N/A,C,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,Python,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
France,30-34,Manager of Developers or Team Leader,Enterprise,Java,JavaScript,CSS,N/A,N/A,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Windows XP,Stack Overflow
United States of America,30-34,Server Programmer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Several others,Other,Stack Overflow
Other Europe,35-39,Desktop Application Developer,Other,Java,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Russia,20-24,Web Application Developer,Enterprise,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Delphi,Windows 7,Stack Overflow
Australia,25-29,Web Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,VB.Net,Windows 7,Meta Stack Overflow
India,20-24,Embedded Application Developer,Mobile,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,25-29,Embedded Application Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,20-24,Student,Other,Java,N/A,CSS,PHP,Python,N/A,Ruby,SQL,N/A,C++,C,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
Germany,40-50,Other,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Scala,Windows 7,Stack Overflow
Netherlands,25-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,30-34,Server Programmer,SaaS,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Australia,51-60,Web Application Developer,SaaS,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,C++,C,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
Other Europe,40-50,Manager of Developers or Team Leader,Web Platform,Java,JavaScript,N/A,N/A,N/A,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United Kingdom,30-34,Desktop Application Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,Java,N/A,CSS,N/A,Python,Objective-C,Ruby,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
